aX,aY,aZ,gX,gY,gZ
-0.851,0.297,1.012,229.492,91.797,139.832
-0.667,0.125,0.880,210.022,44.373,165.527
-0.522,-0.070,0.865,192.322,2.197,195.923
-0.411,-0.096,1.018,181.885,-18.860,222.473
-0.091,0.050,1.146,181.213,-11.230,246.765
0.193,0.118,1.341,184.448,15.930,255.737
0.204,0.223,1.544,194.702,51.697,243.164
-0.080,0.313,1.604,209.595,92.590,218.567
-0.344,0.353,1.468,221.680,131.592,187.683
-0.794,0.368,1.328,224.976,143.311,158.569
-1.214,0.300,1.073,219.849,125.305,139.526
-1.330,0.193,0.866,208.984,96.375,130.859

-1.011,1.312,0.719,-63.904,-112.061,-203.430
-1.053,1.630,0.799,-77.576,-94.177,-202.332
-1.133,1.676,0.916,-95.642,-75.439,-208.252
-1.263,1.627,0.856,-122.253,-55.176,-223.511
-1.318,1.424,0.773,-143.555,-36.926,-261.963
-1.233,1.085,0.553,-142.578,-22.339,-302.307
-1.155,0.794,0.355,-129.578,-19.409,-325.867
-1.003,0.559,0.227,-113.708,-23.926,-326.477
-0.760,0.474,0.155,-99.121,-28.259,-304.382
-0.591,0.500,0.117,-88.501,-32.288,-267.212
-0.431,0.542,0.071,-83.557,-29.175,-225.708
-0.274,0.683,0.051,-84.595,-18.555,-193.787
-0.193,0.769,0.001,-87.646,-8.240,-172.302
-0.159,0.810,-0.078,-96.130,0.183,-162.170
-0.143,0.743,-0.187,-108.337,9.094,-163.818
-0.124,0.662,-0.298,-119.080,16.357,-175.232
-0.154,0.581,-0.427,-120.850,20.020,-192.932
-0.166,0.479,-0.539,-114.258,24.902,-213.867
-0.131,0.356,-0.601,-104.431,33.508,-236.694
-0.050,0.227,-0.674,-91.553,40.894,-257.507
-0.028,0.086,-0.745,-69.580,45.349,-277.344
-0.027,-0.011,-0.797,-48.157,44.739,-288.147
0.030,-0.069,-0.772,-31.616,40.710,-284.851
0.097,-0.080,-0.718,-21.179,36.560,-267.334
0.189,-0.082,-0.709,-18.005,35.034,-244.141
0.285,-0.095,-0.639,-20.264,33.936,-225.464
0.336,-0.129,-0.620,-27.527,34.424,-208.618
0.430,-0.114,-0.610,-36.743,37.842,-192.505
0.503,-0.131,-0.607,-41.687,43.213,-181.885
0.536,-0.150,-0.645,-40.527,44.373,-183.594
0.427,-0.264,-0.714,-32.104,36.987,-187.195
0.338,-0.370,-0.764,-26.794,27.405,-179.382
0.299,-0.450,-0.815,-24.048,19.287,-166.138
0.321,-0.501,-0.844,-17.700,9.094,-157.104
0.357,-0.548,-0.814,-8.545,-2.930,-151.855
0.450,-0.561,-0.726,1.831,-11.841,-142.334
0.592,-0.507,-0.617,11.597,-15.198,-129.089
0.709,-0.413,-0.517,15.015,-13.672,-115.845
0.788,-0.395,-0.489,11.536,-10.681,-100.342
0.820,-0.410,-0.480,2.686,-6.042,-85.815
0.824,-0.412,-0.528,-4.150,0.061,-74.585
0.779,-0.439,-0.592,-4.944,2.197,-63.477
0.732,-0.461,-0.621,-2.625,-2.075,-49.316
0.556,-0.257,-0.712,-3.296,-11.108,-32.349
